cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",21.16,03-JUL-15,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1053893","SBCCUV1.9430","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",74.64,03-JUL-15,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1053893","SBCCUV1.9431","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",21.16,03-JUL-15,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1053893","SBCCUV1.9432","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",488.6,17-AUG-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1053893","SB23UV.4675","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",175.1,17-AUG-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1053893","SB23UV.4676","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",326.1,06-NOV-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBUC23.486","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",35,06-NOV-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBUC23.494","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",137.67,06-NOV-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBUC23.495","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",553.2,06-NOV-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBUC23.501","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",450.1,06-NOV-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBUC23.505","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",283.1,06-NOV-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBUC23.510","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","NOCAWICH EXPRESS",12.76,07-OCT-15,"PHOENIX","AZ","85034","FOOD/BEVERAGES","X","","SB23","1057556","SBCCUV45.9234","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",25,03-JUL-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1053893","SBCCUV1.9469","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",428.1,03-JUL-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1053893","SBCCUV1.9470","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",25,03-JUL-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1053893","SBCCUV1.9547","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",428.1,03-JUL-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1053893","SBCCUV1.9548","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",34.91,03-SEP-15,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1053893","SBCCUV1.9451","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",21.16,03-SEP-15,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1053893","SBCCUV1.9453","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",72.48,03-SEP-15,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1053893","SBCCUV1.9455","",
